period,count
2005-06-07 06:40:00,42.5
2005-06-07 07:20:00,59.0
2005-06-07 08:00:00,71.625
2005-06-07 08:40:00,75.125
2005-06-07 09:20:00,78.625
2005-06-07 10:00:00,84.0
2005-06-07 10:40:00,85.25
2005-06-07 11:20:00,84.375
2005-06-07 12:00:00,84.625
2005-06-07 12:40:00,85.875
2005-06-07 13:20:00,85.5
2005-06-07 14:00:00,85.375
2005-06-07 14:40:00,84.0
2005-06-07 15:20:00,81.5
2005-06-07 16:00:00,72.0
2005-06-07 16:40:00,61.375
2005-06-07 17:20:00,51.375
2005-06-07 18:00:00,46.0
2005-06-07 18:40:00,43.375
2005-06-07 19:20:00,41.75
2005-06-07 20:00:00,40.875
2005-06-07 20:40:00,38.5
2005-06-07 21:20:00,34.0
2005-06-07 22:00:00,30.25
2005-06-07 22:40:00,28.125
2005-06-07 23:20:00,25.375
2005-06-08 00:00:00,24.375
2005-06-08 00:40:00,21.0
2005-06-08 01:20:00,19.875
2005-06-08 02:00:00,18.875
2005-06-08 02:40:00,18.0
2005-06-08 03:20:00,18.625
2005-06-08 04:00:00,20.625
2005-06-08 04:40:00,23.0
2005-06-08 05:20:00,26.375
2005-06-08 06:00:00,35.5
2005-06-08 06:40:00,54.875
2005-06-08 07:20:00,69.125
2005-06-08 08:00:00,74.0
2005-06-08 08:40:00,82.125
2005-06-08 09:20:00,89.5
2005-06-08 10:00:00,93.375
2005-06-08 10:40:00,87.25
2005-06-08 11:20:00,85.5
2005-06-08 12:00:00,85.75
2005-06-08 12:40:00,86.625
2005-06-08 13:20:00,87.0
2005-06-08 14:00:00,87.375
2005-06-08 14:40:00,81.75
2005-06-08 15:20:00,72.125
2005-06-08 16:00:00,62.375
2005-06-08 16:40:00,54.75
2005-06-08 17:20:00,51.125
2005-06-08 18:00:00,47.125
2005-06-08 18:40:00,46.125
2005-06-08 19:20:00,43.875
2005-06-08 20:00:00,39.625
2005-06-08 20:40:00,36.0
2005-06-08 21:20:00,30.125
2005-06-08 22:00:00,27.25
2005-06-08 22:40:00,24.75
2005-06-08 23:20:00,23.125
2005-06-09 00:00:00,21.125
2005-06-09 00:40:00,19.625
2005-06-09 01:20:00,19.125
2005-06-09 02:00:00,18.75
2005-06-09 02:40:00,18.625
2005-06-09 03:20:00,18.5
2005-06-09 04:00:00,18.875
2005-06-09 04:40:00,25.375
2005-06-09 05:20:00,35.75
2005-06-09 06:00:00,50.75
2005-06-09 06:40:00,69.0
2005-06-09 07:20:00,75.0
2005-06-09 08:00:00,82.625
2005-06-09 08:40:00,88.125
2005-06-09 09:20:00,88.25
